owner_kind	owner_id	class_count
clojure-namespace	datomic.process	32
clojure-namespace	datomic.process.events	7
clojure-namespace	datomic.process_monitor	19
clojure-namespace	datomic.promise	11
clojure-namespace	datomic.provisioning.aws	87
clojure-namespace	datomic.pull	59
clojure-namespace	datomic.qtune	19
clojure-namespace	datomic.query	115
clojure-namespace	datomic.query.support	32
clojure-namespace	datomic.queue	56
clojure-namespace	datomic.reconnector2	17
clojure-namespace	datomic.require	8
clojure-namespace	datomic.rest	182
clojure-namespace	datomic.s3	47
clojure-namespace	datomic.s3_api	41
clojure-namespace	datomic.s3_kv	9
clojure-namespace	datomic.s3backup	16
clojure-namespace	datomic.simple_kv	17
clojure-namespace	datomic.slf4j	32
clojure-namespace	datomic.slf4j.bridge	5
clojure-namespace	datomic.spec	4
clojure-namespace	datomic.specs	4
clojure-namespace	datomic.sql	19
clojure-namespace	datomic.stats	59
clojure-namespace	datomic.summary	12
clojure-namespace	datomic.tools	81
clojure-namespace	datomic.tools.detect_865	27
clojure-namespace	datomic.tools.filter_index	10
clojure-namespace	datomic.tools.gc_db	5
clojure-namespace	datomic.tools.index_checks	22
clojure-namespace	datomic.tools.index_stats	16
clojure-namespace	datomic.tools.locate_transactor	7
clojure-namespace	datomic.tools.log_tools	25
clojure-namespace	datomic.tools.postdiag_865	15
clojure-namespace	datomic.tools.read_segment	8
clojure-namespace	datomic.tools.rebuild_index	9
clojure-namespace	datomic.tools.rebuild_log_leaf	31
clojure-namespace	datomic.tools.rebuild_log_root	6
clojure-namespace	datomic.tools.repair_1455	6
clojure-namespace	datomic.tools.repair_865	49
clojure-namespace	datomic.tools.restore_log_root	7
clojure-namespace	datomic.transaction	17
clojure-namespace	datomic.transactor	27
clojure-namespace	datomic.transactor_ext	14
clojure-namespace	datomic.treewalk	44
clojure-namespace	datomic.update	163
clojure-namespace	datomic.uri	63
clojure-namespace	datomic.val_cluster	18
clojure-namespace	datomic.valcache	65
clojure-namespace	datomic.valcache.puts_pool	14
clojure-namespace	datomic.valcache.puts_pool_impl	12
clojure-namespace	datomic.valcache_direct	11
clojure-namespace	datomic.validators	5
clojure-namespace	hiccup.compiler	45
clojure-namespace	hiccup.core	4
clojure-namespace	hiccup.def	13
clojure-namespace	hiccup.form	26
clojure-namespace	hiccup.page	16
clojure-namespace	hiccup.util	36
clojure-namespace	liberator.conneg	36
clojure-namespace	liberator.core	160
clojure-namespace	liberator.representation	83
clojure-namespace	liberator.util	22
clojure-namespace	net.cgrand.moustache	40
clojure-namespace	ring.core.protocols	16
clojure-namespace	ring.middleware.keyword_params	12
clojure-namespace	ring.middleware.params	10
clojure-namespace	ring.util.codec	39
clojure-namespace	ring.util.io	8
clojure-namespace	ring.util.parsing	4
clojure-namespace	ring.util.request	17
clojure-namespace	ring.util.response	50
clojure-namespace	ring.util.servlet	26
clojure-namespace	ring.util.time	8
java-source	com/datomic/impl/peer/ActiveMQInputStream.java	1
java-source	com/datomic/lucene/store/DatomicThunk.java	1
java-source	datomic/Attribute.java	1
java-source	datomic/Connection.java	1
java-source	datomic/Database.java	2
java-source	datomic/Datom.java	1
java-source	datomic/Entity.java	1
java-source	datomic/ListenableFuture.java	1
