namespace	init_entry	init_sha256	status	match_count	owner_jars	owner_jar_sha256s	source_entries	source_sha256s
clojure.tools.analyzer.passes.jvm.box	clojure/tools/analyzer/passes/jvm/box__init.class	b56d87b2df3384d5957a02ee6b068c3c24f3cda5a499a410bdf0783a5963b41f	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/box.clj	9961e42b41a90338b432343a18fe89f97b3219bf63390c5d0b7c61a9a46c0bde
clojure.tools.analyzer.passes.jvm.classify_invoke	clojure/tools/analyzer/passes/jvm/classify_invoke__init.class	b2261330e1f4cacd526cf9cf166ea6dbbc31183226336ae36bfa8a07835f053f	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/classify_invoke.clj	f36df28d554fbe22db76394f60973b2fdcaf3fff987caffa918a7d00757de5de
clojure.tools.analyzer.passes.jvm.constant_lifter	clojure/tools/analyzer/passes/jvm/constant_lifter__init.class	ace6192b6abf782b3882d00fcf4047817c1ad14395545231fd716c5fcd8b90a6	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/constant_lifter.clj	b74fb7f98a66ea5b878e63effbd02dc9506f5f2bb6dfd3c7f708a7e54d5f6353
clojure.tools.analyzer.passes.jvm.emit_form	clojure/tools/analyzer/passes/jvm/emit_form__init.class	fb79c3e4d0df5c56eaac0c61a8d1bb4f8f65379af1ac4ec9f4f747e682ef6315	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/emit_form.clj	3f9a46d96c88b89817cc19dd6be2df117e7c4fd675516e079fb7f0dcdba2fb93
clojure.tools.analyzer.passes.jvm.fix_case_test	clojure/tools/analyzer/passes/jvm/fix_case_test__init.class	7098626a19e6a75f8df1b0e776045ad8a38964e10cf6fbd0689b60afb68084c1	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/fix_case_test.clj	ed907cda307e9e501d088967b08cc6461aef34eae95b4ebf577c66e527e29af3
clojure.tools.analyzer.passes.jvm.infer_tag	clojure/tools/analyzer/passes/jvm/infer_tag__init.class	bbc1ed185c81c33783695607e1cf80e3ba1ad429f03f52ad32bd946c5fa80dc2	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/infer_tag.clj	122eb0b41cc7d6d858a79f90497d0360eaa5802c498e20d504ce308b8325a97d
clojure.tools.analyzer.passes.jvm.validate	clojure/tools/analyzer/passes/jvm/validate__init.class	8c17fee9fd856ffc2739305fa817c1de0fa9da19976ed6920be897e43d736ce4	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/validate.clj	156d191bdf1b725bea33f7fc0cda86c6231e41539687998531cb2af258386540
clojure.tools.analyzer.passes.jvm.validate_loop_locals	clojure/tools/analyzer/passes/jvm/validate_loop_locals__init.class	2de3c4ed1490583736598b83287fc812833c8bcbd162f68c2a7d352882f93ee5	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/validate_loop_locals.clj	7a212b95dca3cef0a52556027ce51fafb550ec3621e0fa356abe758c0afef9dd
clojure.tools.analyzer.passes.jvm.validate_recur	clojure/tools/analyzer/passes/jvm/validate_recur__init.class	1202287849f2fc7c517b9006d89c50b14b68f26c3d587d1a88b0fd874ddabe1b	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/validate_recur.clj	c15a1f453eee0933542e0391a466728e09fc5aa8e10da2bbf464964ad6a58e96
clojure.tools.analyzer.passes.jvm.warn_on_reflection	clojure/tools/analyzer/passes/jvm/warn_on_reflection__init.class	601fa98751e8fd1ac7083ae17298dd9c6d986d979fb92897f8a3e01260bea559	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/warn_on_reflection.clj	d007e6ac2b9c6b54d37f9e72d83dbf0ddf39135bb91fa852013b88657127c8dc
clojure.tools.analyzer.passes.source_info	clojure/tools/analyzer/passes/source_info__init.class	8152f6aeead67c563c792b49aaf78870c5c93491d7f5b3bda2b00e7957887de3	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/source_info.clj	6b0ade444b977cdbc0fe2efe291478eb3e5cd2195545c0b5536e432d8d1526d5
clojure.tools.analyzer.passes.trim	clojure/tools/analyzer/passes/trim__init.class	764b7d0aec1091a55d9b7db774248fa1f39079b16227ecbac8563a9f02527a49	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/trim.clj	c721215c7fe8587ddae93570f275e177ef9abff1e367c178031757ec29125561
clojure.tools.analyzer.passes.uniquify	clojure/tools/analyzer/passes/uniquify__init.class	91951e079d94ed3bea8b1b9ae71df6ba946389678957472ccc38d91f34315aa4	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/uniquify.clj	ad4115e29bf790d9774dbc06faf42da83af9d70d5e8bf779af6a2d38babcf492
