keyword	total	namespaces
:attr	2	datomic.fulltext:1,datomic.integrity:1
:attrPred	5	datomic.db:5
:attrPreds	2	datomic.db:2
:attribute	9	datomic.db:9
:attributeDefinitions	13	datomic.ddb:13
:attributeName	12	datomic.ddb:12
:attributeType	6	datomic.ddb:6
:attributeValueList	5	datomic.ddb:5
:attributes	5	datomic.ddb:4,datomic.index:1
:attributesToGet	6	datomic.ddb:5,datomic.ddb-values:1
:attrid	1	datomic.integrity:1
:attrmap	4	datomic.integrity:2,datomic.stats:1,datomic.treewalk:1
:attrs	5	datomic.core2.aws.ddb:1,datomic.core2.log.ddb:1,datomic.index:1,datomic.integrity:1,datomic.stats:1
:author	25	datomic.db:5,datomic.excise:5,datomic.fulltext:5,datomic.fulltext-index:5,datomic.index:5
:auto-commit-acks	1	datomic.artemis-client:1
:auto-commit-sends	1	datomic.artemis-client:1
:auto-discovery	3	datomic.config:2,datomic.memcached:1
:avet	60	datomic.db:18,datomic.index:13,datomic.integrity:20,datomic.pull:3,datomic.stats:4,datomic.tools.index-checks:1,datomic.treewalk:1
:avet-hist	10	datomic.index:7,datomic.integrity:2,datomic.treewalk:1
:avet-main	11	datomic.index:9,datomic.integrity:1,datomic.treewalk:1
:avet-mid	8	datomic.index:5,datomic.integrity:2,datomic.treewalk:1
:avet-total	2	datomic.integrity:2
:aws-access-key-id	4	datomic.aws:2,datomic.aws-monitor:1,datomic.uri:1
:aws-cloudwatch-dimension-value	2	datomic.aws-monitor:2
:aws-cloudwatch-region	2	datomic.aws-monitor:2
:aws-dynamodb-table	7	datomic.ddb-s3-cluster:3,datomic.tools:1,datomic.uri:3
:aws-region	6	datomic.ddb-s3-cluster:3,datomic.tools:1,datomic.uri:2
:aws-s3-path	3	datomic.s3-kv:1,datomic.uri:2
:aws-secret-key	4	datomic.aws:2,datomic.aws-monitor:1,datomic.uri:1
:aws/error	1	datomic.ddb:1
:b	7	datomic.ddb:6,datomic.integrity:1
:bOOL	7	datomic.ddb:7
:bS	6	datomic.ddb:6
:backoff	9	datomic.backup:1,datomic.catalog:2,datomic.common:2,datomic.core2.async:1,datomic.core2.val-store.s3:1,datomic.ddb-s3-cluster:1,datomic.peer:1
:backoff-ms	2	datomic.core2.retry:2
:backup-uri	1	datomic.backup:1
:backup-version	2	datomic.backup:2
:backup/claim-failed	2	datomic.backup:2
:backup/db	1	datomic.backup:1
:backup/read-failed	1	datomic.backup:1
:backup/roots-failed	2	datomic.backup:2
:backup/segment	1	datomic.backup:1
:backup/value-failed	1	datomic.backup:1
:backup/version	8	datomic.backup:8
:backward	6	datomic.core2.atom.logged:1,datomic.core2.log:1,datomic.core2.log.ddb:2,datomic.core2.log.mem:1,datomic.core2.log.spi:1
:base	10	datomic.clusterfs:4,datomic.core2.val-store.s3:1,datomic.ddb-s3-cluster:1,datomic.fulltext:1,datomic.integrity:1,datomic.s3-kv:2
:basefs	2	datomic.fulltext:2
:baseid	2	datomic.fulltext:2
:basis-db	2	datomic.adopter:1,datomic.peer:1
:basis-t	6	datomic.db:1,datomic.integrity:4,datomic.peer:1
:basisT	22	datomic.adopter:1,datomic.db:13,datomic.index:3,datomic.integrity:1,datomic.peer:3,datomic.tools:1
:bbuf	2	datomic.valcache-direct:1,datomic.valcache.puts-pool-impl:1
:bbuf-size	1	datomic.ddb-values:1
:bean	2	datomic.datafy:2
:before	2	datomic.external-sort:2
:begin	81	datomic.backup:5,datomic.cassandra-values:7,datomic.cassandra-values-v4:7,datomic.cluster:3,datomic.clusterfs:3,datomic.connector:4,datomic.coordination:1,datomic.db:2,datomic.ddb-values:6,datomic.fulltext:5,datomic.garbage:2,datomic.index:10,datomic.integrity:4,datomic.kv-cluster:8,datomic.log:3,datomic.peer:4,datomic.process-monitor:2,datomic.slf4j:1,datomic.tools:1,datomic.val-cluster:3
:bigdec	1	datomic.db:1
:bigint	2	datomic.db:2
:billingMode	10	datomic.ddb:10
:billingModeSummary	1	datomic.ddb:1
:bind-type	3	datomic.datalog:3
:bindings	9	datomic.assert:1,datomic.integrity:8
:binds	8	datomic.datalog:8
:binds-in	1	datomic.datalog:1
:binds-out	1	datomic.datalog:1
:birth-level	9	datomic.db:3,datomic.index:6
:body	9	datomic.core2.aws.s3.aws-api:1,datomic.core2.log.ddb:4,datomic.core2.log.mem:3,datomic.core2.val-store.s3.aws-api:1
:bool	1	datomic.db:1
:bpd	1	datomic.index:1
:branch	2	datomic.integrity:2
:browse	1	datomic.artemis-client:1
:bucket	20	datomic.coordination-ext:1,datomic.core2.aws.s3.aws-api:5,datomic.core2.val-store.s3.aws-api:4,datomic.core2.val-store.s3.sdkv1:1,datomic.ddb-s3-cluster:4,datomic.s3-kv:2,datomic.uri:3
:bucket-prefix	3	datomic.ddb-s3-cluster:3
:bucketKeyEnabled	6	datomic.s3-api:6
:bucketName	15	datomic.s3:1,datomic.s3-api:14
:buf	22	datomic.backup:1,datomic.catalog:1,datomic.cluster:4,datomic.cluster-stack:2,datomic.domain:4,datomic.garbage:1,datomic.integrity:1,datomic.kv-cluster:4,datomic.log:2,datomic.tools:1,datomic.val-cluster:1
:bufs	7	datomic.log:7
:bufsize	9	datomic.cassandra-values:2,datomic.cassandra-values-v4:2,datomic.ddb-values:2,datomic.kv-cluster:2,datomic.val-cluster:1
:build	1	datomic.index:1
:buildRevision	5	datomic.index:5
:byte-count	1	datomic.clusterfs:1
:bytes	4	datomic.db:1,datomic.index:1,datomic.kv-cluster:1,datomic.log:1
:cache-1	2	datomic.cache:1,datomic.kv-cache:1
:cache-2	2	datomic.cache:1,datomic.kv-cache:1
:cache-bytes	1	datomic.domain:1
:cache-get	2	datomic.cache.caffeine:2
:cache/create	1	datomic.domain:1
:cacheControl	6	datomic.s3-api:6
:cacheResponseMetadata	5	datomic.aws:5
:card-1-collision	2	datomic.tools.index-checks:2
:cardinality	15	datomic.db:12,datomic.pull:2,datomic.tools:1
:cas	2	datomic.valcache:2
:cass	4	datomic.coordination-ext:1,datomic.uri:3
:cass2	4	datomic.coordination-ext:1,datomic.uri:3
:cass3	4	datomic.coordination-ext:1,datomic.uri:3
:cassandra-values/delete-value	2	datomic.cassandra-values:1,datomic.cassandra-values-v4:1
:cassandra-values/delete-value-chunk	2	datomic.cassandra-values:1,datomic.cassandra-values-v4:1
:cassandra-values/get-value	4	datomic.cassandra-values:2,datomic.cassandra-values-v4:2
:cassandra-values/get-value-chunk	2	datomic.cassandra-values:1,datomic.cassandra-values-v4:1
:cassandra-values/put	2	datomic.cassandra-values:1,datomic.cassandra-values-v4:1
:cassandra-values/put-value	2	datomic.cassandra-values:1,datomic.cassandra-values-v4:1
:cassandra-values/put-value-chunk	2	datomic.cassandra-values:1,datomic.cassandra-values-v4:1
:catalog	1	datomic.tools:1
:catalog/db-does-not-exist	1	datomic.backup:1
:cause	1	datomic.kv-cluster:1
:ch	6	datomic.core2.async:1,datomic.core2.log:1,datomic.core2.log.ddb:1,datomic.core2.log.mem:1,datomic.core2.log.spi:2
:check	15	datomic.integrity:15
:child-node-ids	4	datomic.treewalk:4
:children	18	datomic.garbage:17,datomic.garbage.fressian:1
:childrenOfAlarmName	5	datomic.cloudwatch:5
:chunk	1	datomic.integrity:1
:chunk-size	9	datomic.clusterfs:6,datomic.core2.log.ddb:1,datomic.fulltext:2
:chunks	19	datomic.cassandra:2,datomic.cassandra-v4:2,datomic.cassandra-values:5,datomic.cassandra-values-v4:5,datomic.clusterfs:1,datomic.ddb-values:1,datomic.kv-cassandra2:1,datomic.kv-cassandra3:1,datomic.kv-cluster:1
:class	1	datomic.cache:1
:classname	1	datomic.error:1
:clause	3	datomic.datalog:3
:cleanup	2	datomic.peer:1,datomic.reconnector2:1
:clear	3	datomic.cache.caffeine:1,datomic.cache.impl:1,datomic.queue:1
:client	9	datomic.core2.aws.s3.aws-api:1,datomic.core2.log.ddb:1,datomic.core2.val-store.s3.aws-api:2,datomic.core2.val-store.s3.sdkv1:1,datomic.ddb-s3-cluster:1,datomic.memcached:3
:client-conf	2	datomic.core2.aws.s3.sdkv1:1,datomic.ddb-s3-cluster:1
:clientExecutionTimeout	8	datomic.aws:5,datomic.config:2,datomic.ddb-s3-cluster:1
:clojure	1	datomic.function:1
:cloneRoot	2	datomic.s3-api:2
:cloneSource	2	datomic.s3-api:2
:close-cache-1?	1	datomic.cache:1
:close-cache-2?	1	datomic.cache:1
:close-subreaders	2	datomic.fulltext:1,datomic.lucene:1
:cloud-compat	2	datomic.db:2
:cls	1	datomic.datafy:1
:cluster	36	datomic.coordination-ext:2,datomic.db-io:3,datomic.garbage:1,datomic.index:1,datomic.integrity:14,datomic.kv-cassandra:3,datomic.kv-cassandra2:3,datomic.kv-cluster:1,datomic.peer:1,datomic.tools:7
:cluster-callback	5	datomic.cassandra:1,datomic.coordination-ext:2,datomic.kv-cassandra:1,datomic.kv-cassandra2:1
:cluster-conf	3	datomic.db-io:1,datomic.peer:2
:cluster/write-vals	1	datomic.cluster:1
:clusterfs	5	datomic.cluster:2,datomic.clusterfs:2,datomic.integrity:1
:clusterfs/create-file	1	datomic.clusterfs:1
:clusterfs/create-files	1	datomic.clusterfs:1
:clusterfs/create-fs	3	datomic.clusterfs:2,datomic.slf4j:1
:clusterfs/write-val	2	datomic.cluster:1,datomic.slf4j:1
:cmp	4	datomic.external-sort:1,datomic.external-sort-datoms:2,datomic.index:1
:cnt	1	datomic.index:1
:code	9	datomic.artemis-client:2,datomic.fressian:1,datomic.function:5,datomic.s3-api:1
:coerce	1	datomic.cli:1
:coerce-v	5	datomic.db:5
:cognitect.anomalies/busy	2	datomic.core2.anomalies:1,datomic.core2.val-store.fs:1
:cognitect.anomalies/category	38	datomic.api:2,datomic.cluster-stack:2,datomic.common:1,datomic.core2.anomalies:13,datomic.core2.async:3,datomic.core2.atom.logged:5,datomic.core2.aws.s3.sdkv1:1,datomic.core2.log.mem:1,datomic.core2.val-store.fs:1,datomic.core2.val-store.spi:1,datomic.error:3,datomic.extension-resolver:2,datomic.peer:1,datomic.query.support:1,datomic.tools:1
:cognitect.anomalies/conflict	4	datomic.api:1,datomic.core2.anomalies:1,datomic.core2.log.mem:1,datomic.error:1
:cognitect.anomalies/fault	9	datomic.cluster-stack:1,datomic.core2.anomalies:2,datomic.core2.async:1,datomic.core2.aws.s3.sdkv1:2,datomic.core2.val-store.spi:1,datomic.error:1,datomic.tools:1
:cognitect.anomalies/forbidden	3	datomic.core2.anomalies:2,datomic.core2.aws.s3.sdkv1:1
:cognitect.anomalies/incorrect	7	datomic.api:2,datomic.core2.anomalies:1,datomic.core2.atom.logged:1,datomic.error:1,datomic.extension-resolver:1,datomic.query.support:1
:cognitect.anomalies/interrupted	2	datomic.core2.async:2
:cognitect.anomalies/message	23	datomic.api:2,datomic.common:2,datomic.core2.anomalies:2,datomic.core2.async:1,datomic.core2.atom.logged:5,datomic.core2.aws.s3.sdkv1:1,datomic.core2.log.mem:1,datomic.core2.val-store.fs:1,datomic.core2.val-store.spi:1,datomic.error:3,datomic.extension-resolver:1,datomic.peer:1,datomic.query.support:1,datomic.tools:1
:cognitect.anomalies/not-found	5	datomic.common:1,datomic.core2.anomalies:2,datomic.core2.atom.logged:1,datomic.core2.aws.s3.sdkv1:1
:cognitect.anomalies/unavailable	5	datomic.core2.anomalies:1,datomic.core2.atom.logged:3,datomic.peer:1
