caller_namespace	target_kind	target	references	call_owner_references	field_owner_references	type_references	distinct_owners	owners
datomic.aws-monitor	companion-jar	clojure-1.11.4.jar	1820	623	7	1190	26	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/AReference,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/Delay,clojure/lang/IFn,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/ISeq,clojure/lang/Indexed,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/MethodImplCache,clojure/lang/Namespace,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.aws-monitor	jdk	java.lang	1445	25	13	1407	8	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Double,java/lang/Integer,java/lang/Long,java/lang/Object,java/lang/String
datomic.aws-monitor	jdk	java.util	62	20	0	42	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.aws-monitor	primary-namespace	datomic.aws-monitor	59	28	0	31	25	datomic/aws_monitor$cloudwatch_reporter,datomic/aws_monitor$create_cloudwatch_reporter,datomic/aws_monitor$create_cloudwatch_reporter$fn__23632,datomic/aws_monitor$create_request_map,datomic/aws_monitor$create_request_map$fn__23619,datomic/aws_monitor$fn__23567,datomic/aws_monitor$fn__23571,datomic/aws_monitor$fn__23574,datomic/aws_monitor$fn__23574$G__23569__23579,datomic/aws_monitor$fn__23574$G__23570__23576,datomic/aws_monitor$fn__23585,datomic/aws_monitor$fn__23590,datomic/aws_monitor$fn__23593,datomic/aws_monitor$fn__23593$G__23588__23600,datomic/aws_monitor$fn__23593$G__23589__23596,datomic/aws_monitor$fn__23606,datomic/aws_monitor$fn__23609,datomic/aws_monitor$fn__23636,datomic/aws_monitor$loading__6434__auto____23565,datomic/aws_monitor$partitioned_metrics_requests,datomic/aws_monitor$report_metrics,datomic/aws_monitor$to_metric_data,datomic/aws_monitor$to_metric_data$fn__23612,datomic/aws_monitor/Qn,datomic/aws_monitor/ToMetricData
datomic.backup	companion-jar	clojure-1.11.4.jar	10798	3754	32	7012	47	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/APersistentMap,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/Counted,clojure/lang/Delay,clojure/lang/IFn,clojure/lang/IFn$LO,clojure/lang/IFn$OL,clojure/lang/IHashEq,clojure/lang/IKeywordLookup,clojure/lang/ILookup,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IMapEntry,clojure/lang/IObj,clojure/lang/IPersistentCollection,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentSet,clojure/lang/IPersistentVector,clojure/lang/IRecord,clojure/lang/IRef,clojure/lang/ISeq,clojure/lang/IType,clojure/lang/Indexed,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/MapEntry,clojure/lang/MapEquivalence,clojure/lang/MethodImplCache,clojure/lang/MultiFn,clojure/lang/Namespace,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/RecordIterator,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.backup	companion-jar	slf4j-api-1.7.32.jar	72	36	0	36	2	org/slf4j/Logger,org/slf4j/LoggerFactory
datomic.backup	jdk	array	1	0	0	1	1	[B
datomic.backup	jdk	java.io	1	0	0	1	1	java/io/Serializable
datomic.backup	jdk	java.lang	9641	130	132	9379	18	java/lang/AssertionError,java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Double,java/lang/Error,java/lang/IllegalArgumentException,java/lang/Integer,java/lang/Long,java/lang/Math,java/lang/Number,java/lang/Object,java/lang/RuntimeException,java/lang/String,java/lang/System,java/lang/Thread,java/lang/Throwable,java/lang/UnsupportedOperationException
datomic.backup	jdk	java.net	6	3	0	3	1	java/net/URI
